id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,total_pymnt;
924308,40000,40000,40000, 60 months,12.79,905.83,C,VP Technology,< 1 year,MORTGAGE,250000,Source Verified,42644,home_improvement,GA,5.32,1,35947,0,4,0,19,0.2,7,0,36198.45512;
924309,35000,35000,35000, 36 months,15.59,1223.43,C,Management,10+ years,OWN,108000,Source Verified,42644,debt_consolidation,CA,1.41,1,38777,2,5,0,6053,93.1,13,0,21131.14385;
924310,8000,8000,8000, 36 months,12.79,268.75,C,Courtroom Clerk,8 years,MORTGAGE,37000,Verified,42644,debt_consolidation,FL,32.55,3,34820,0,8,1,3130,34.8,34,0,13778.97316;
924311,2100,2100,2100, 36 months,12.79,70.55,C,Clerk,3 years,RENT,29000,Source Verified,42644,credit_card,IL,11.3,2,30956,0,22,0,64238,40.4,71,0,32802.37226;
924312,5000,5000,5000, 36 months,11.49,164.86,B,Store Manager,5 years,MORTGAGE,78600,Verified,42644,debt_consolidation,PA,31.13,0,37288,0,13,0,19772,42.2,48,0,17903.75372;
924313,17300,17300,17050, 60 months,25.69,514.8,F,ibea,4 years,MORTGAGE,50400,Source Verified,42644,medical,TX,27.97,0,31321,1,8,1,2798,29,36,0,11630.38443;
924314,15000,15000,15000, 36 months,7.59,467.22,A,Senior Staff Associate,2 years,OWN,75000,Not Verified,42644,credit_card,NY,4.22,0,34335,1,6,0,13796,66,17,0,11444.38833;
924315,20000,20000,20000, 60 months,13.99,465.27,C,Senior field technician,10+ years,MORTGAGE,125000,Not Verified,42644,credit_card,NY,14.83,0,38292,1,13,1,6770,40.8,17,0,5652.331343;
924316,5000,5000,5000, 36 months,10.49,162.49,B,RN Case Manager,6 years,OWN,65000,Not Verified,42644,debt_consolidation,MI,24.75,0,35916,0,10,0,21481,93.8,17,0,22449.9;
924317,2000,2000,2000, 36 months,11.49,65.95,B,Sales Manager,10+ years,MORTGAGE,140000,Not Verified,42644,credit_card,TX,21.61,0,36739,0,23,0,33028,76.1,50,0,14820.8447;
924318,2500,2500,2500, 36 months,11.49,82.43,B,Clinical Coding Specialist,4 years,RENT,43000,Source Verified,42644,debt_consolidation,NC,23.12,0,34790,0,8,0,14379,82.2,30,0,10894.84;
924319,35000,35000,35000, 60 months,24.49,1016.86,E,Supervisory Emergency Mgt Special,10+ years,RENT,95000,Source Verified,42644,debt_consolidation,DE,23.31,0,38322,1,4,1,2478,88.5,5,0,8912.6;
924320,6400,6400,6400, 36 months,17.99,231.35,D,Medical Assistant,< 1 year,RENT,20000,Verified,42644,home_improvement,PA,7.11,0,36586,3,17,0,8779,17.2,37,0,12933.35284;
924321,6000,6000,6000, 36 months,8.99,190.78,B,Manager,10+ years,RENT,49000,Not Verified,42644,credit_card,WI,10.9,0,35004,0,4,0,4652,93,9,0,6142.53;
924322,7475,7475,7475, 36 months,21.49,283.51,D,Security ,10+ years,RENT,26000,Source Verified,42644,debt_consolidation,VA,30.54,0,34790,0,10,0,72496,93.9,19,0,23971.45222;
924323,18000,18000,18000, 36 months,19.99,668.86,D,Supervisor,8 years,MORTGAGE,55000,Verified,42644,debt_consolidation,NC,23.53,0,36100,0,8,0,7086,52.1,15,0,10808.07406;
924324,4000,4000,4000, 36 months,19.99,148.64,D,,n/a,MORTGAGE,14864,Verified,42644,credit_card,OH,28.26,0,31107,0,19,0,84212,83.2,33,0,36197.48691;
924325,13425,13425,13425, 60 months,22.39,373.77,E,WAREHOUSE,10+ years,RENT,45000,Source Verified,42644,credit_card,OH,25.17,0,37165,2,11,0,10093,60.8,30,0,8640.075227;
924326,8500,8500,8500, 36 months,11.49,280.26,B,Support Manager,10+ years,MORTGAGE,164000,Verified,42644,home_improvement,CT,22.46,0,37895,0,15,0,10138,28.5,29,0,4531.489748;
924327,12000,12000,12000, 36 months,11.49,395.66,B,owner,5 years,MORTGAGE,30000,Source Verified,42644,debt_consolidation,NY,13.85,1,37347,2,10,0,10531,71.2,30,0,44863.31297;
924328,10000,10000,10000, 60 months,24.49,290.54,E,Aircraft Mechanics Senior,10+ years,MORTGAGE,72800,Source Verified,42644,other,MA,13.04,4,35490,0,8,0,6138,74.9,30,0,14236.384;
924329,40000,40000,40000, 60 months,14.49,940.93,C,manager,5 years,MORTGAGE,84960,Verified,42644,debt_consolidation,CA,8.44,0,30286,0,6,0,9409,31.7,24,0,45046.30763;
924330,25000,25000,24950, 36 months,11.49,824.29,B,Business Analyst IV,6 years,MORTGAGE,140000,Source Verified,42644,debt_consolidation,FL,34.16,2,38169,1,12,0,2065,68.8,20,0,14855.36336;
924331,25000,25000,25000, 36 months,18.99,916.28,D,Service Tech,10+ years,MORTGAGE,115000,Source Verified,42644,debt_consolidation,FL,21.14,1,37377,0,16,0,18601,62.6,27,0,14993.74;
924332,40000,40000,40000, 36 months,6.99,1234.91,A,Pilot ,10+ years,RENT,189000,Verified,42644,debt_consolidation,GA,18.63,0,33055,0,10,2,9537,53.6,19,0,11267.96582;
924333,4000,4000,4000, 36 months,11.49,131.89,B,Pressman ,5 years,RENT,80000,Source Verified,42644,debt_consolidation,CT,15.22,0,35886,1,8,1,7542,57.6,22,0,15517.15271;
924334,18000,18000,18000, 36 months,9.49,576.51,B,Sr. Mortgage Processor,8 years,MORTGAGE,100000,Verified,42644,debt_consolidation,KY,30.02,0,34486,0,13,0,54285,92,39,0,31511.3716;
924335,5400,5400,5400, 36 months,14.49,185.85,C,Cost Analyst,2 years,RENT,65000,Verified,42644,debt_consolidation,KS,5.34,0,32994,0,9,0,12663,86,16,0,4518.866743;
924336,6000,6000,6000, 36 months,14.49,206.5,C,Forensic Interviewer ,10+ years,OWN,89000,Verified,42644,credit_card,CT,7.63,0,37653,0,7,0,20276,58.9,29,0,29270.53182;
924337,8000,8000,8000, 36 months,16.99,285.19,D,Maintnance,10+ years,MORTGAGE,30000,Not Verified,42644,debt_consolidation,IL,37.35,0,35674,0,17,0,80055,73,32,0,28087.24699;
924338,5600,5600,5600, 36 months,9.49,179.36,B,Foreman,6 years,OWN,51000,Source Verified,42644,debt_consolidation,FL,9.47,0,37226,0,5,0,1583,42.8,20,0,9131.654425;
924339,3500,3500,3500, 36 months,14.49,120.46,C,Adult Care Giver ,10+ years,OWN,28000,Source Verified,42644,debt_consolidation,AL,20.31,0,36678,0,10,0,25588,47,33,0,38966.49689;
924340,20000,20000,20000, 36 months,8.59,632.19,A,Maintenance Manager,7 years,RENT,45000,Verified,42644,debt_consolidation,KY,8.22,1,35704,0,10,0,5540,62.2,30,0,43558.47264;
924341,5000,5000,5000, 36 months,15.59,174.78,C,Paralegal,10+ years,RENT,25000,Source Verified,42644,debt_consolidation,PA,18.99,0,38930,0,7,0,12018,64.6,10,0,14126.41585;
924342,24000,24000,24000, 60 months,14.49,564.56,C,,n/a,MORTGAGE,72000,Not Verified,42644,debt_consolidation,MA,7.08,0,32112,0,11,0,9720,53.4,38,0,41022.45353;
924343,11200,11200,11200, 60 months,19.99,296.67,D,Senior Sales Rep,7 years,RENT,65000,Source Verified,42644,debt_consolidation,CO,25.15,0,34213,0,15,0,21200,55.6,25,0,15619.39;
924344,6050,6050,6050, 36 months,15.59,211.48,C,crew manager / leader,1 year,RENT,33592,Source Verified,42644,debt_consolidation,AZ,19.91,1,30560,2,22,1,2395,31,26,0,6035.332269;
924345,35000,35000,35000, 36 months,13.99,1196.05,C,Senior Manager,10+ years,RENT,169000,Verified,42644,debt_consolidation,VA,13.25,0,37104,1,20,0,7290,29.9,31,0,14236.384;
924346,16000,16000,16000, 60 months,15.59,385.62,C,Active Duty,10+ years,MORTGAGE,76221,Not Verified,42644,other,AZ,19.19,2,36465,2,10,0,9936,50.2,29,0,36367.815;
924347,3500,3500,3500, 36 months,12.79,117.58,C,supervisor,1 year,OWN,30000,Source Verified,42644,debt_consolidation,MA,26.01,0,33390,0,23,0,42834,65.5,42,0,10821.53554;
924348,2000,2000,2000, 36 months,15.59,69.91,C,Inside sales,5 years,RENT,60000,Source Verified,42644,home_improvement,TX,14.65,1,37347,2,38,0,25060,27.8,75,0,18013.47833;
924349,20000,20000,20000, 36 months,5.32,602.3,A,Police Officer,10+ years,MORTGAGE,171000,Source Verified,42644,debt_consolidation,DE,16.68,0,34182,0,9,0,22971,54.4,28,0,26570.81826;
924350,16000,16000,16000, 60 months,17.99,406.21,D,Project Manager,10+ years,RENT,85400,Source Verified,42644,home_improvement,NY,29.75,0,35247,0,9,1,5577,37,26,0,5419.162725;
924351,10000,10000,10000, 36 months,18.99,366.51,D,Showroom Consultant,9 years,RENT,42640,Source Verified,42644,debt_consolidation,NE,39.04,0,38047,2,14,0,14655,74.8,30,0,6078.650113;
924352,21600,21600,21600, 60 months,13.99,502.49,C,Payroll Specialist ,10+ years,MORTGAGE,60000,Not Verified,42644,debt_consolidation,WI,22.91,1,38443,0,11,0,4071,65.7,17,0,1795.553254;
924353,36725,36725,36725, 36 months,9.49,1176.24,B,Contract Manager,8 years,MORTGAGE,82000,Source Verified,42644,debt_consolidation,CA,10.78,1,35521,1,11,0,1957,21,21,0,13684.6;
924354,15000,15000,15000, 36 months,12.79,503.9,C,CSR,10+ years,MORTGAGE,50961,Source Verified,42644,debt_consolidation,NJ,3.95,0,36465,0,4,0,1483,47.8,15,0,23377.58115;
"924355,35000,35000,35000, 60 months,27.49,1079.02,F,""RN, BSN "",10+ years,MORTGAGE,89000,Source Verified,42644,home_improvement,NC,9.91,0,36739,1,11,0,3251,33,19,0,18422.46535";
924356,15000,15000,15000, 60 months,17.99,380.82,D,computer graphic analyst,4 years,RENT,68000,Not Verified,42644,major_purchase,NY,1.13,0,30225,0,7,1,1695,9.6,28,0,7811.350986;
924357,15000,15000,15000, 36 months,10.49,487.47,B,Executive Assistant II,3 years,RENT,65400,Source Verified,42644,debt_consolidation,FL,10.85,0,37104,0,7,0,3934,51.2,32,0,9292.651945;
924358,14000,14000,14000, 36 months,17.99,506.07,D,Director,3 years,MORTGAGE,92400,Not Verified,42644,debt_consolidation,FL,14.72,0,37622,0,6,0,17320,69.8,31,0,25857.0702;
924359,18000,18000,18000, 36 months,16.99,641.66,D,HR business partner,5 years,RENT,83000,Verified,42644,home_improvement,FL,14.23,1,36434,0,12,0,45348,74.6,31,0,26478.25794;
924360,14000,14000,14000, 60 months,15.59,337.42,C,Teacher,9 years,MORTGAGE,78000,Not Verified,42644,debt_consolidation,WY,20.11,0,37622,0,9,3,6341,49.2,24,0,11784.01376;
924361,4500,4500,4500, 36 months,21.49,170.68,D,Teacher,7 years,RENT,34000,Verified,42644,debt_consolidation,CA,20.32,0,37135,0,9,1,6628,51.8,17,0,8029.875743;
924362,12000,12000,12000, 36 months,24.49,473.89,E,,n/a,MORTGAGE,56000,Verified,42644,debt_consolidation,TX,21.89,0,37165,0,14,0,18257,25.3,27,0,27470.17353;
924363,3600,3600,3600, 36 months,14.49,123.9,C,Sales,10+ years,MORTGAGE,68000,Source Verified,42644,debt_consolidation,CA,29.35,0,35400,1,15,0,16170,28.6,24,0,18344.25;
924364,1600,1600,1600, 36 months,12.79,53.75,C,Events Manager,4 years,RENT,15000,Source Verified,42644,debt_consolidation,NV,18.74,0,38534,0,15,1,7457,34.5,22,0,11185.97741;
924365,12000,12000,12000, 36 months,13.49,407.17,C,supervisor,10+ years,MORTGAGE,60000,Source Verified,42644,debt_consolidation,WY,13.68,0,35034,0,6,0,4620,31.6,16,0,10914.6;
924366,30000,30000,30000, 36 months,14.49,1032.49,C,Captain,10+ years,RENT,98000,Not Verified,42644,credit_card,VA,20.6,0,37622,0,10,0,11971,46.9,22,0,6225.67;
924367,11200,11200,11200, 60 months,25.29,330.65,E,Bookkeeper,10+ years,OWN,32000,Verified,42644,debt_consolidation,WA,15.9,2,34912,0,8,0,44373,95.4,18,0,23765.94951;
924368,4000,4000,4000, 36 months,13.49,135.73,C,Assistant Teacher,1 year,RENT,10000,Source Verified,42644,debt_consolidation,WA,28.6,0,35827,2,10,1,6997,53,21,0,11092.91603;
924369,14400,14400,14400, 36 months,12.79,483.74,C,Project Manager,10+ years,RENT,69600,Verified,42644,debt_consolidation,FL,17.31,0,38687,2,12,0,9553,62.4,29,0,23986.84114;
924370,3600,3600,3600, 36 months,10.49,117,B,Director,8 years,MORTGAGE,72000,Source Verified,42644,debt_consolidation,CA,20.31,2,34182,0,20,0,26917,49.5,26,0,26092.4085;
924371,25000,25000,25000, 60 months,10.99,543.44,B,Program Manager,10+ years,MORTGAGE,103000,Not Verified,42644,credit_card,CA,20.45,1,39995,0,9,0,8749,55.4,12,0,12070.59661;
924372,5600,5600,5600, 36 months,19.99,208.09,D,,n/a,MORTGAGE,34000,Source Verified,42644,credit_card,CA,29.31,0,30956,1,11,1,3423,18.4,30,0,4063.126678;
924373,3025,3025,3025, 36 months,9.49,96.89,B,Customer Service Manager,10+ years,MORTGAGE,67000,Not Verified,42644,debt_consolidation,CO,12.35,0,37591,1,9,0,5675,20.6,20,0,25423.08249;
924374,20000,20000,20000, 36 months,13.99,683.46,C,Software developer,4 years,RENT,85000,Verified,42644,credit_card,CA,3.23,0,38718,0,9,0,11053,5.7,13,0,30331.43821;
924375,5000,5000,5000, 36 months,8.99,158.98,B,Speech therapist,10+ years,MORTGAGE,59000,Source Verified,42644,other,AR,31.84,0,39356,0,10,0,11856,84.1,11,0,6077.16396;
924376,25000,25000,25000, 36 months,6.99,771.82,A,Associate,3 years,MORTGAGE,170000,Not Verified,42644,debt_consolidation,WA,24.76,0,33725,0,17,0,30996,59.5,37,0,17716.68142;
924377,6000,6000,6000, 36 months,12.79,201.56,C,Human Resources Administrator ,< 1 year,RENT,30000,Source Verified,42644,debt_consolidation,WI,30.42,0,31168,1,34,0,36200,45.2,54,0,17911.77;
924378,12000,12000,12000, 36 months,8.99,381.55,B,Machinest ,1 year,RENT,50000,Not Verified,42644,home_improvement,OR,24.08,0,33848,0,16,1,14170,30.9,25,0,6915.47268;
924379,5000,5000,5000, 36 months,10.99,163.67,B,Human Resources Manager,2 years,RENT,40000,Verified,42644,other,FL,12.15,0,39083,1,13,0,2710,23.4,23,0,3820.805239;
924380,32000,32000,32000, 60 months,14.49,752.74,C,Sourcing Analyst,6 years,RENT,80000,Verified,42644,debt_consolidation,NY,11.18,0,33512,1,16,0,12088,16.3,26,0,15959.81;
924381,8000,8000,8000, 36 months,13.49,271.45,C,Deputy,6 years,RENT,52000,Source Verified,42644,credit_card,TX,6.78,0,34394,1,6,1,4522,30,20,0,3438.703295;
924382,14375,14375,14375, 36 months,24.49,567.68,E,teacher,< 1 year,OWN,39999,Source Verified,42644,debt_consolidation,PA,13.01,0,37591,3,9,0,7550,58.1,20,0,9873.732061;
924383,27600,27600,27600, 60 months,25.29,814.8,E,Security Officer ,10+ years,MORTGAGE,75000,Not Verified,42644,credit_card,CA,8.11,0,31594,1,19,1,12709,38.2,48,0,11322.34433;
924384,8000,8000,8000, 36 months,14.49,275.33,C,Machine Operator ,7 years,RENT,32000,Not Verified,42644,debt_consolidation,NC,15.75,0,36617,0,10,0,83110,59.4,15,0,28459.35402;
924385,14275,14275,14275, 36 months,19.99,530.44,D,Manager vendor operations,10+ years,RENT,71200,Verified,42644,other,NY,2.99,0,31533,0,11,0,0,0,20,0,14018.59;
924386,8000,8000,8000, 36 months,13.49,271.45,C,Technical Analyst,10+ years,MORTGAGE,140000,Not Verified,42644,debt_consolidation,IN,17.1,0,39387,0,16,0,10930,87.4,19,0,18983.98024;
924387,2000,2000,2000, 36 months,13.99,68.35,C,Security giard,4 years,RENT,25000,Verified,42644,home_improvement,FL,5.78,0,40330,0,5,1,2188,38.4,8,0,4366.706926;
924388,12000,12000,12000, 36 months,12.79,403.12,C,CTO / Director of Technology & Architect,3 years,MORTGAGE,235000,Source Verified,42644,debt_consolidation,NY,10.05,0,39417,0,15,0,3409,35.1,16,0,12069.07628;
924389,1500,1500,1500, 36 months,10.49,48.75,B,main supervisor,10+ years,OWN,38000,Source Verified,42644,debt_consolidation,NY,20.92,0,37196,0,18,0,10240,47.4,31,0,16936.51442;
924390,28000,28000,28000, 36 months,5.32,843.22,A,V.P. of Product,2 years,MORTGAGE,140000,Source Verified,42644,home_improvement,KS,22.43,0,39083,2,10,0,17767,82.6,16,0,11608.38558;
924391,3000,3000,3000, 36 months,8.99,95.39,B,Paramedic,10+ years,MORTGAGE,73000,Source Verified,42644,debt_consolidation,KS,18.18,0,35582,1,16,0,10897,58,46,0,12465.39;
924392,8000,8000,8000, 36 months,10.49,259.99,B,Technician Manager,7 years,MORTGAGE,50000,Source Verified,42644,other,FL,18.12,1,35400,0,10,0,3880,69,16,0,4275.445879;
